,Question,Actual,Prediction,TP,TN,FP,FN
1544,make donald trump greatest president history,Sincere,Insincere,0,0,1,0
125,different form electricity used,Sincere,Sincere,0,1,0,0
376,area bounded curve x line x axis point intersection point rotated x axis formula volume,Sincere,Sincere,0,1,0,0
1141,kotlin language similar java,Sincere,Sincere,0,1,0,0
2734,u president hillary clinton laughed puerto rico said came saw died,Insincere,Insincere,1,0,0,0
792,thinking different others,Sincere,Sincere,0,1,0,0
1909,remainder divided,Sincere,Insincere,0,0,1,0
502,feel like replaced,Sincere,Insincere,0,0,1,0
1062,get touch girl seen year,Sincere,Insincere,0,0,1,0
2450,fuck kid spend time jail,Insincere,Insincere,1,0,0,0
2965,liberal cry baby,Insincere,Insincere,1,0,0,0
2541,beautiful middle east iranian levantine arab,Insincere,Insincere,1,0,0,0
495,case human specie selection pressure weaker today,Sincere,Insincere,0,0,1,0
730,possible make movie song offend people coerce political change,Sincere,Sincere,0,1,0,0
1833,determinant matrix basically listing permutation coefficient conserving order term system,Sincere,Sincere,0,1,0,0
3179,rapist europe muslim,Insincere,Insincere,1,0,0,0
1867,bit compare nit trichy b tech mech,Sincere,Sincere,0,1,0,0
308,could thing gift guy husband meeting arranged parent first meeting talking since month,Sincere,Sincere,0,1,0,0
535,initiation ritual latin king gang,Sincere,Insincere,0,0,1,0
1349,people really bad teeth bad taking care teeth,Sincere,Insincere,0,0,1,0
1925,kagome kiyoko reincarnation different people,Sincere,Sincere,0,1,0,0
2962,india still considered secular prime minister fanatic hindu report hindu extremist party r,Insincere,Insincere,1,0,0,0
2453,true amit shah ordered kill anyone writes negative case judge loya,Insincere,Insincere,1,0,0,0
3836,jew average spatial iq,Insincere,Insincere,1,0,0,0
2175,liberal realize region stricter gun control often higher level gun violence google,Insincere,Insincere,1,0,0,0
2302,evangelical christian like pedophile pedophile member republican party,Insincere,Insincere,1,0,0,0
3207,beat homeless people fun psychopath,Insincere,Insincere,1,0,0,0
244,see stored icloud,Sincere,Insincere,0,0,1,0
1912,india save pakistan china,Sincere,Insincere,0,0,1,0
2969,italian italy hate black american italian refer derogatory term italian see black american le american get angry hear black american speaking english,Insincere,Insincere,1,0,0,0
3991,many indian girl lose virginity marriage,Insincere,Insincere,1,0,0,0
2386,chinese hate american built entire country city,Insincere,Insincere,1,0,0,0
1970,best place value money kolkata buying ceramic pot,Sincere,Sincere,0,1,0,0
529,following polymer contain glucose unit,Sincere,Sincere,0,1,0,0
2905,ctmu critic imbecile crackpot know nothing,Insincere,Insincere,1,0,0,0
1359,much custom come import pair shoe detroit costed total,Sincere,Sincere,0,1,0,0
3700,french people resentful towards brit vice versa,Insincere,Insincere,1,0,0,0
2821,america punish southern conservative opposition proper education scientific advancement,Insincere,Insincere,1,0,0,0
750,kind clothes like guy,Sincere,Insincere,0,0,1,0
625,stop arrow key scrolling,Sincere,Sincere,0,1,0,0
2997,love turn people idiot please give love like love love perfect b know sugar coating love try hide,Insincere,Insincere,1,0,0,0
3886,asian people travel world like foreigner,Insincere,Insincere,1,0,0,0
3287,western technology democracy work shaitan,Insincere,Insincere,1,0,0,0
1807,child ever told something scared,Sincere,Insincere,0,0,1,0
3030,grab aunty boob p,Insincere,Insincere,1,0,0,0
1603,ever wrongfully accused rape sexual harassment,Sincere,Insincere,0,0,1,0
3798,many black america,Insincere,Insincere,1,0,0,0
1286,outside right finding peace star,Sincere,Insincere,0,0,1,0
1618,big deal tech giant run problem live demo,Sincere,Sincere,0,1,0,0
1934,perlite exist eutectoid composition c even hypoeutectoid range,Sincere,Sincere,0,1,0,0
1401,mean baby fast heartbeat,Sincere,Sincere,0,1,0,0
1309,mark required get ramk arround electrical branch,Sincere,Sincere,0,1,0,0
1505,businessman select financial intermediary prior business transaction,Sincere,Sincere,0,1,0,0
268,manufacturing process airwalk snowboard,Sincere,Sincere,0,1,0,0
817,much money need live exchange student bergen norway,Sincere,Sincere,0,1,0,0
2608,indian see today fake hindu ex muslim ancestry hence explaining modern indian phenomenal,Insincere,Insincere,1,0,0,0
2591,new zealand combat unit think work russian america took,Insincere,Insincere,1,0,0,0
2232,boy use girl sex,Insincere,Insincere,1,0,0,0
1887,meet cold,Sincere,Sincere,0,1,0,0
3835,people constantly trying break street date video game seem incredibly selfish childish,Insincere,Insincere,1,0,0,0
2231,chamarendar gay,Insincere,Insincere,1,0,0,0
2381,briton met russia speak ugly abracadabra call advanced language,Insincere,Insincere,1,0,0,0
2723,make sex year old say virginia,Insincere,Insincere,1,0,0,0
3837,american trade canada australia northern neighbor possible,Insincere,Insincere,1,0,0,0
1503,find qatari kuwaiti sponsor startup iran,Sincere,Insincere,0,0,1,0
2376,trump get fired excessive day golf excessive expense first year president thier entire term get fired bos american citizen,Insincere,Insincere,1,0,0,0
1121,true american men hate woman,Sincere,Insincere,0,0,1,0
3443,white people obsessed big lip black people white proud thin lip,Insincere,Insincere,1,0,0,0
3256,think sword art online movie,Insincere,Sincere,0,0,0,1
3074,u born muslim generally successful academically career uk born british muslim uk muslim backward today,Insincere,Insincere,1,0,0,0
3705,feel bad black woman,Insincere,Insincere,1,0,0,0
1894,international road pas north east india,Sincere,Sincere,0,1,0,0
1451,form government k currently many year system,Sincere,Sincere,0,1,0,0
136,college branch get score jee advanced,Sincere,Sincere,0,1,0,0
1796,salary package oracle india pvt limited hyderabad,Sincere,Sincere,0,1,0,0
2301,vagina look like,Insincere,Insincere,1,0,0,0
2693,money making business idea start year,Insincere,Sincere,0,0,0,1
592,odds nato state member ever leave alliance,Sincere,Insincere,0,0,1,0
841,time flight depth sensor light house light house use,Sincere,Sincere,0,1,0,0
1853,carrier strike group obsolete,Sincere,Sincere,0,1,0,0
3677,chinese nationalism disgust,Insincere,Insincere,1,0,0,0
3192,bill clinton conscience,Insincere,Insincere,1,0,0,0
413,conduct user research accessibility differently,Sincere,Sincere,0,1,0,0
2519,risk rubbing penis beehive minute every sunday,Insincere,Insincere,1,0,0,0
3059,brahmin stone age idea hampering growth india socially,Insincere,Insincere,1,0,0,0
70,time need reach nift campus orientation programme,Sincere,Sincere,0,1,0,0
426,jio launch postpaid plan jammu,Sincere,Sincere,0,1,0,0
632,flying airline often revert navy training treat passenger carrier landing,Sincere,Sincere,0,1,0,0
2700,sane person investigating weapon law look nebulous statistic like mass shooting rather homicide rate something similar,Insincere,Sincere,0,0,0,1
1937,motivated fit,Sincere,Sincere,0,1,0,0
798,joker v deadpool assault arkham animated movie great storyline supervillains,Sincere,Sincere,0,1,0,0
12,difference casio ae w casio ae w b watch,Sincere,Sincere,0,1,0,0
3117,somebody voting donald trump like hilary clinton say prefer bigot,Insincere,Insincere,1,0,0,0
562,material read improve reading habit cat va rc select passage attempt mock,Sincere,Sincere,0,1,0,0
1823,difference study exam study knowledge chartered accountancy,Sincere,Sincere,0,1,0,0
1432,penguin protect seal,Sincere,Insincere,0,0,1,0
3890,heterosexual men enjoy wearing panty tights,Insincere,Insincere,1,0,0,0
3101,education feminist issue west subject woman dominating men,Insincere,Insincere,1,0,0,0
927,twin flame feel exact way,Sincere,Sincere,0,1,0,0
1517,need form secret organization take anti national india,Sincere,Insincere,0,0,1,0
2464,trump voter want russia control united state,Insincere,Insincere,1,0,0,0
3245,obama executed treason,Insincere,Insincere,1,0,0,0
320,unauthorized transaction probable identity theft,Sincere,Insincere,0,0,1,0
2254,country need hitler,Insincere,Insincere,1,0,0,0
3693,girl like soft hard penis,Insincere,Insincere,1,0,0,0
2218,feminist talk men issue legitimately concerned virtue signaling,Insincere,Insincere,1,0,0,0
3182,worse donald trump voter republican enabled,Insincere,Insincere,1,0,0,0
1944,tip write summary upgrade army discharge brief legal guide,Sincere,Sincere,0,1,0,0
1730,improve fitness eating egg,Sincere,Sincere,0,1,0,0
3339,u accept poor uneducated illegal immigrant like dreamer,Insincere,Insincere,1,0,0,0
2517,sex younger female cousin,Insincere,Insincere,1,0,0,0
1591,difference form form part,Sincere,Sincere,0,1,0,0
455,important birthright title land money power,Sincere,Sincere,0,1,0,0
1880,benefit rising star program,Sincere,Sincere,0,1,0,0
1181,laptop paytm cheap,Sincere,Sincere,0,1,0,0
1568,many programmer workforce actually get certification,Sincere,Sincere,0,1,0,0
766,right time start studying gmat,Sincere,Sincere,0,1,0,0
40,character changed end book chasing redbird,Sincere,Sincere,0,1,0,0
2610,u military induce war resource rich nation,Insincere,Insincere,1,0,0,0
2807,canada bad woman compared pakistan saudi arabia,Insincere,Insincere,1,0,0,0
842,best way bring awareness distress,Sincere,Sincere,0,1,0,0
1384,learning curve marketo compare learning curve hubspot,Sincere,Sincere,0,1,0,0
1009,chemical structure calcium nitrate,Sincere,Sincere,0,1,0,0
3595,bannon testify trump since lost standing britebart radio gig,Insincere,Insincere,1,0,0,0
2616,serbia want annex northern greece,Insincere,Insincere,1,0,0,0
873,yelp spring break,Sincere,Sincere,0,1,0,0
3539,school justify failing teach child cursive holocaust,Insincere,Insincere,1,0,0,0
861,skill learner need,Sincere,Sincere,0,1,0,0
1098,application graduate student must,Sincere,Sincere,0,1,0,0
2511,fake mythology created brahmin,Insincere,Insincere,1,0,0,0
3326,normal sex cousin,Insincere,Insincere,1,0,0,0
3974,feminist rude defensive many feminist post curt rude response statement argument questioned opposing argument ignored attacked,Insincere,Insincere,1,0,0,0
1504,randomly jump,Sincere,Insincere,0,0,1,0
2861,symbol flag color people lgbt people,Insincere,Insincere,1,0,0,0
280,noun headache plural form,Sincere,Sincere,0,1,0,0
2751,sc sts leave india,Insincere,Insincere,1,0,0,0
563,top leading led bulb manufacturing company india,Sincere,Sincere,0,1,0,0
727,new iiits get campus earliest,Sincere,Sincere,0,1,0,0
1753,temperature store embros egg sperm,Sincere,Sincere,0,1,0,0
1190,purpose computer program,Sincere,Sincere,0,1,0,0
2382,come european south american culture considered passionate others,Insincere,Insincere,1,0,0,0
204,difficult create successful business russia,Sincere,Sincere,0,1,0,0
2488,respect military member extend soldier right color white many white u conservative man anomaly,Insincere,Insincere,1,0,0,0
882,convert decimal binary using modulus function,Sincere,Sincere,0,1,0,0
2964,cr cr,Insincere,Insincere,1,0,0,0
3926,theory white people becoming minority going extinct pure bullcrap,Insincere,Insincere,1,0,0,0
2521,muslim community india closed society obstinately refusing reform modern time major religion done still holding jihad kafir forced removal clitoris multiple marriage,Insincere,Insincere,1,0,0,0
62,traveling maldives india via colombo sri lanka hour colombo visit colombo need visa,Sincere,Sincere,0,1,0,0
3720,liberal support sexist segregated bathroom,Insincere,Insincere,1,0,0,0
3789,singaporean feel threatened living close many muslim majority nation,Insincere,Insincere,1,0,0,0
307,favorite novel non fiction book,Sincere,Sincere,0,1,0,0
3362,astrological combination needed obtain scholarship study,Insincere,Sincere,0,0,0,1
1342,former pornstar quora,Sincere,Insincere,0,0,1,0
2287,indian greedy people money,Insincere,Insincere,1,0,0,0
2438,many american unquestioningly believe see mainstream medium news owned controlled major company course central intelligence agency,Insincere,Insincere,1,0,0,0
1130,best entertaining foreign movie watch,Sincere,Sincere,0,1,0,0
1448,invest get maximum revenue crore rupee,Sincere,Sincere,0,1,0,0
989,ex nda always behave nice lady also part training syllabus,Sincere,Sincere,0,1,0,0
91,proposed lateral entry indian foreign service undermine prestige position directly recruited officer,Sincere,Sincere,0,1,0,0
3258,fast food restaurant like mcdonald wendy krystal checker hire mostly black dairy queen mostly indian chick fil mostly white type discrimination,Insincere,Insincere,1,0,0,0
1320,get erection looking woman asexual,Sincere,Insincere,0,0,1,0
2815,longest bullet,Insincere,Sincere,0,0,0,1
771,first year syrian civil war developed analysis chronology wikipedia,Sincere,Sincere,0,1,0,0
29,social medium site use indie author,Sincere,Sincere,0,1,0,0
1845,take become activision ambassador,Sincere,Sincere,0,1,0,0
3567,chinese woman mondial bus,Insincere,Insincere,1,0,0,0
3613,democrat still pushing collusion russian story result clinton arrest,Insincere,Insincere,1,0,0,0
3432,ever killed wife cheated,Insincere,Insincere,1,0,0,0
1217,moody daymond john,Sincere,Insincere,0,0,1,0
2204,people mostly girl like getting tippy toe,Insincere,Insincere,1,0,0,0
3970,narendra modi fooling india gst demonitization protest modi destroying india revealed sir vinod dua thewire episode,Insincere,Insincere,1,0,0,0
3807,nasa confirms nibiru exists article say true nibiru also end earth true happen,Insincere,Insincere,1,0,0,0
177,maruti going relaunch design,Sincere,Sincere,0,1,0,0
1079,eould nice pen buy phd advisor grduation worth usd,Sincere,Sincere,0,1,0,0
2911,germany,Insincere,Insincere,1,0,0,0
2400,tamil ever accept equal ethnicity even though evidence state tamil oldest civilization recorded invention world denial,Insincere,Insincere,1,0,0,0
1472,encourage dad keep exercising got stroked spends lot time resting bed want walk try walk say foot weakening convince keep walking,Sincere,Insincere,0,0,1,0
661,apply health insurance today next day find disease need treatment insurance cover cost,Sincere,Sincere,0,1,0,0
2016,chinese indonesian generally look west papuan,Insincere,Insincere,1,0,0,0
405,graduation course graduation certificate course canada,Sincere,Sincere,0,1,0,0
2040,muslim feel humiliated learn prophet mohammad married woman young year old aisha converted others worship place islamic holy place called kaaba killed people name allah,Insincere,Insincere,1,0,0,0
2229,cold hearted mcann sold maddie pedophile,Insincere,Insincere,1,0,0,0
3623,indian protect motherland,Insincere,Insincere,1,0,0,0
1846,line song end say father want kill mother want f k actually morrison want say line,Sincere,Insincere,0,0,1,0
2007,tamil discriminated sri lanka go live tamil nadu,Insincere,Insincere,1,0,0,0
1061,biggest trend going social medium advertising,Sincere,Sincere,0,1,0,0
2118,neither barreto cordova apologized outrageous hate based social medium rant apologized rant may offended admission maintain belief republican congress tolerate,Insincere,Insincere,1,0,0,0
442,realize husband love althogh trying time make happiest man,Sincere,Insincere,0,0,1,0
2515,long somebody attempt assassinate donut trump,Insincere,Insincere,1,0,0,0
651,alternate history book movie finland,Sincere,Sincere,0,1,0,0
1982,go pharmacovigilence b pharmacy,Sincere,Sincere,0,1,0,0
2840,everyone greece replaced million hard working productive law abiding german scandinavian american citizen long take exit crisis,Insincere,Insincere,1,0,0,0
2461,currently perverted depraved head state,Insincere,Insincere,1,0,0,0
749,get match tinder,Sincere,Insincere,0,0,1,0
2404,interesting many american men tired american woman thus pursuing foreign woman,Insincere,Insincere,1,0,0,0
3191,dog fuck woman,Insincere,Insincere,1,0,0,0
3601,people support lgbqt racial equality show prejudice muslim,Insincere,Insincere,1,0,0,0
984,futurama crew mean christmas elf,Sincere,Sincere,0,1,0,0
288,meaning bibliognost,Sincere,Sincere,0,1,0,0
3249,name woman athlete participating olympics,Insincere,Insincere,1,0,0,0
122,anti missile system thaads,Sincere,Sincere,0,1,0,0
74,argentina fight new world order falklands war,Sincere,Insincere,0,0,1,0
953,best nlp trainer pune,Sincere,Sincere,0,1,0,0
1067,type material want read product design engineering blog,Sincere,Sincere,0,1,0,0
1052,determine greater value,Sincere,Sincere,0,1,0,0
437,use studying mba studying information technology,Sincere,Sincere,0,1,0,0
2164,whola ugly state,Insincere,Insincere,1,0,0,0
2422,evolution real gay lesbian ask penis vagina,Insincere,Insincere,1,0,0,0
1446,hardly feel emotion,Sincere,Insincere,0,0,1,0
403,advantage plastic pond,Sincere,Sincere,0,1,0,0
1124,manufactured romanian red wine good,Sincere,Sincere,0,1,0,0
3008,win race mumbai delhi,Insincere,Sincere,0,0,0,1
380,difference mpcb overload relay,Sincere,Sincere,0,1,0,0
707,speed sound electricity,Sincere,Sincere,0,1,0,0
1055,tattoo soubin arm hidden movie sudani nigeria,Sincere,Sincere,0,1,0,0
1656,australia abolish monarchy,Sincere,Insincere,0,0,1,0
3678,black men like getting married white woman pregnant,Insincere,Insincere,1,0,0,0
2627,ungrateful girl father complaining father give freedom brother saying machismo machismo woman get pregnant suffer rape likely suffer assault shit,Insincere,Insincere,1,0,0,0
2246,men india except punjab haryana rajasthan feminine passive,Insincere,Insincere,1,0,0,0
2675,terrorist group worst among isi al qaeda turkish army hizbollah palestinian army,Insincere,Insincere,1,0,0,0
3649,zuckerberg muslim,Insincere,Insincere,1,0,0,0
270,advice someone planning apply swe internship prior related experience,Sincere,Sincere,0,1,0,0
3796,tamil people burning csk flag tamil people hate csk much,Insincere,Insincere,1,0,0,0
2427,homosexual men relish sex female many marry female child desert go homosexual relationship,Insincere,Insincere,1,0,0,0
110,way getting rid moth,Sincere,Sincere,0,1,0,0
1404,know nichola tesla,Sincere,Sincere,0,1,0,0
2961,important american slave,Insincere,Insincere,1,0,0,0
1863,online free course leed,Sincere,Sincere,0,1,0,0
1714,source identify share bought sale fiis,Sincere,Sincere,0,1,0,0
3111,american deny defeat vietnam war,Insincere,Insincere,1,0,0,0
3302,gun stop mass shooting easily accessible bomb stop bombing attack,Insincere,Insincere,1,0,0,0
422,meanest thing spouse ever said,Sincere,Sincere,0,1,0,0
1562,happens eat lemon everyday,Sincere,Sincere,0,1,0,0
387,sweeten cacao dark chocolate,Sincere,Sincere,0,1,0,0
2139,long u supreme court wrongly assert sex marriage protected constitution,Insincere,Insincere,1,0,0,0
898,download receipt lic premium paid offline,Sincere,Sincere,0,1,0,0
2530,trump still funding planned parenthood need fire mueller rosenstein session,Insincere,Insincere,1,0,0,0
3510,year old girl married year old man okay,Insincere,Insincere,1,0,0,0
3158,become le enlightened enjoy simple thing life ignorant average joes,Insincere,Insincere,1,0,0,0
874,difference chalazion stye,Sincere,Sincere,0,1,0,0
3086,india proud ownself fcuked india count nation country u,Insincere,Insincere,1,0,0,0
1694,wrong code c pset initial c,Sincere,Insincere,0,0,1,0
518,universally frowning upon applicant admit want job need money fast interviewer think getting company besides skilled liar,Sincere,Insincere,0,0,1,0
3795,progressive get much people money handout federal government spend full time putting poorly constructed comment quora god bless section eight,Insincere,Insincere,1,0,0,0
2377,let get straight obama hillary give billion iran oked russia taking u nuclear material husband make deal million gift clinton foundation dnc medium accuse trump collusion,Insincere,Insincere,1,0,0,0
1954,naseem hijazi biased spaniard british brahmin glorified afghan mahmud ghaznavi arab muhammad bin qasim,Sincere,Insincere,0,0,1,0
967,draken international private adversary air contractor still provide aggressor aircraft usaf training,Sincere,Sincere,0,1,0,0
2044,mccain lose presidency pander deplorable like trump birthers birthers come church teach nowadays,Insincere,Insincere,1,0,0,0
2481,trump supporter ever admit played like fool given trump actually said could kill someone supporter still vote,Insincere,Insincere,1,0,0,0
3911,muslim good muslim,Insincere,Insincere,1,0,0,0
440,absinthe produced,Sincere,Sincere,0,1,0,0
3463,american hated people earth,Insincere,Insincere,1,0,0,0
67,scientologists still cry totally cleared,Sincere,Insincere,0,0,1,0
2902,white people generally desired dating world people color,Insincere,Insincere,1,0,0,0
2739,illegal bangladeshi immigrant ask government impose sharia law assam,Insincere,Insincere,1,0,0,0
925,multi variable maclaurin series expansion f x,Sincere,Sincere,0,1,0,0
963,good trick prepare net mathematics,Sincere,Sincere,0,1,0,0
3889,south asian parent treat kid property,Insincere,Insincere,1,0,0,0
825,prepare neet study month along b sc course study hour daily,Sincere,Sincere,0,1,0,0
2578,eat get bigger totally dissappear,Insincere,Insincere,1,0,0,0
558,sex better health,Sincere,Insincere,0,0,1,0
3617,quora almost exclusively question posed frightened child young teen minimal education getting lot lately feed bad luck draw really thing,Insincere,Insincere,1,0,0,0
858,view collapsed answer forbidden fruit always take peek taboo avoid cost,Sincere,Insincere,0,0,1,0
2621,men marry india,Insincere,Insincere,1,0,0,0
1664,spicejet interview hack,Sincere,Sincere,0,1,0,0
3584,put fascism nazism right totalitarian modeled soviet style socialism,Insincere,Insincere,1,0,0,0
84,family able take french bulldog puppy way flight k los angeles,Sincere,Sincere,0,1,0,0
1051,top jiu jitsu competitor,Sincere,Sincere,0,1,0,0
2333,democrat woman like pretend melania trump inspiring,Insincere,Insincere,1,0,0,0
230,military police occupational specialty training course marine,Sincere,Sincere,0,1,0,0
1294,ruling party interesting history,Sincere,Sincere,0,1,0,0
1040,prabhas get national award work baahubali,Sincere,Sincere,0,1,0,0
101,fuel economy tesla model,Sincere,Sincere,0,1,0,0
